,repo,os,days_needed_to_remove_min,days_needed_to_remove_max,introducing_commit_id_first,introducing_commit_id_last,non_performance_candidate_commit_id,commiter_fixing_date,releases_pre_fixing_commit,issues_pre_fixing_commit,open_issues_pre_fixing_commit,closed_issues_pre_fixing_commit,mean_code_frequency_addition,median_code_frequency_addition,mean_code_frequency_deletion,median_code_frequency_deletion,patch_total_modifications,patch_total_deletions,patch_total_additions,Main Language,LOC,Contributors,age_pre_fixing
0,https://github.com/antennapod/AntennaPod,android,17,17,76f1f705,76f1f705,425dc708,2012-06-24T16:20:26Z,0,0,0,0,1121.849206,265.5,872.9391534,122,2,1,1,Java,4927,3,189
1,https://github.com/antennapod/AntennaPod,android,8,11,d8a9d68b,e8b9e49e,ae09dbff,2014-03-28T19:17:15Z,40,385,9,376,1124.125436,210,956.5993031,100,69,28,41,Java,42200,26,831
2,https://github.com/antennapod/AntennaPod,android,0,9,54489832,b038f3c8,162e1d4f,2013-12-30T00:23:47Z,37,331,7,324,1112.411371,210,929.4849498,100,10,6,4,Java,37210,24,743
3,https://github.com/antennapod/AntennaPod,android,425,425,09c47368,09c47368,c097b672,2015-09-26T15:11:48Z,58,1223,47,1176,726.0239234,86,597.722488,47,34,16,18,Java,56050,51,1378
4,https://github.com/antennapod/AntennaPod,android,9,680,cc3863d7,4f84ceff,97827cde,2015-07-12T21:03:20Z,54,1008,39,969,737.2465753,101,614.6484018,71,10,5,5,Java,56115,51,1302
5,https://github.com/anthonycr/Lightning-Browser,android,12,172,74a75d4a,b2794b9d,3833fdb4,2016-03-05T04:00:51Z,7,379,104,275,883.6774194,73.5,843.1129032,16.5,79,22,57,Kotlin,19310,55,1119
6,https://github.com/anthonycr/Lightning-Browser,android,19,127,969cab81,006eb5e1,de2d0b2c,2015-11-23T03:06:15Z,7,337,78,259,857.04,76.5,800.19,17,34,17,17,Kotlin,16820,55,1016
7,https://github.com/anthonycr/Lightning-Browser,android,30,34,94b69fd3,34312bb9,2a4b636a,2015-11-21T23:21:58Z,7,335,76,259,852.8756219,76,796.2985075,17,12,5,7,Kotlin,16806,55,1014
8,https://github.com/anthonycr/Lightning-Browser,android,11,11,8bead204,8bead204,d17049cc,2014-05-09T20:01:13Z,0,78,2,76,1439.893238,93,1213.843416,35,35,8,27,Kotlin,10412,25,453
9,https://github.com/anthonycr/Lightning-Browser,android,22,221,969cab81,e2d46bda,486078a7,2016-02-25T00:15:01Z,7,377,103,274,881.6363636,76,839.1871658,17,79,26,53,Kotlin,19227,55,1110
10,https://github.com/anthonycr/Lightning-Browser,android,417,417,f06170eb,f06170eb,f98f4522,2016-02-21T20:11:45Z,7,377,103,274,881.6363636,76,839.1871658,17,4,2,2,Kotlin,18066,55,1106
11,https://github.com/anthonycr/Lightning-Browser,android,31,141,a03444f4,3cb576d3,4e3193bf,2015-10-31T00:43:15Z,7,319,69,250,844.4852941,73.5,785.7352941,17.5,44,24,20,Kotlin,16688,55,993
12,https://github.com/anthonycr/Lightning-Browser,android,8,818,8edc7aa3,8169294c,80ac1928,2015-10-30T03:35:58Z,7,319,69,250,844.4852941,73.5,785.7352941,17.5,40,17,23,Kotlin,16661,55,992
13,https://github.com/Antox/Antox,android,0,58,dad2b0a2,e5ba9a34,21a396a0,2014-08-08T12:13:40Z,4,0,0,0,345.7238806,0,269.0559701,0,107,26,81,Scala,8802,46,194
14,https://github.com/Antox/Antox,android,7,103,3fd4ecd1,b173069e,ac316b78,2014-06-24T17:31:27Z,4,0,0,0,349.0620438,0,268.9562044,0,53,21,32,Scala,7837,44,149
15,https://github.com/Antox/Antox,android,0,0,1a7c1a9e,1a7c1a9e,335e716a,2014-08-11T19:41:42Z,4,0,0,0,342.1348315,0,267.411985,0,4,1,3,Scala,8968,46,197
16,https://github.com/arpitkh96/AmazeFileManager,android,34,51,1d2d5b3e,ea051208,dd1c93ac,2014-12-13T14:25:19Z,3,53,0,53,2114.544,521.5,1666.808,235,400,205,195,Java,11704,8,342
17,https://github.com/asksven/BetterBatteryStats,android,127,127,ab4d35a5,ab4d35a5,4b41a96b,2017-09-05T09:42:51Z,139,803,56,747,115.7757009,0,118.1028037,0,2,1,1,Java,30187,1,268
18,https://github.com/BennyKok/OpenLauncher,android,2,40,8d5054e4,58d826e6,5a3f8534,2016-09-12T14:28:03Z,0,2,0,2,1023.025316,63.5,941.6265823,23.5,398,168,230,Java,9735,3,43
